ticker,date,net_volume,net_value,change,buy_volume,buy_value,sell_volume,sell_value,room_remaining,foreign_ownership_pct,exchange,source
VCB,2026-05-29,280800,17447020000,"62,00 (-1,27%)",427800,26644080000,147000,9197060000,813723803,20.26,HOSE,CafeF foreign history
VCB,2026-05-28,371200,23242190000,"62,80 (-2,18%)",690400,43458230000,319200,20216040000,814094877,20.26,HOSE,CafeF foreign history
VCB,2026-05-27,233200,14889180000,"64,20 (-0,31%)",848600,54407110000,615400,39517930000,814328052,20.25,HOSE,CafeF foreign history
VCB,2026-05-26,702000,45050880000,"64,40 (+1,10%)",1363700,87423530000,661700,42372650000,814783546,20.25,HOSE,CafeF foreign history
VCB,2026-05-25,994200,63026800000,"63,70 (+0,31%)",1030700,65334510000,36500,2307710000,815777675,20.24,HOSE,CafeF foreign history
VCB,2026-05-22,-246400,-15861720000,"63,50 (-2,16%)",1298900,83067510000,1545300,98929230000,815777675,20.24,HOSE,CafeF foreign history
VCB,2026-05-21,2503100,163365240000,"64,90 (+0,46%)",4705800,306937800000,2202700,143572560000,818281554,20.21,HOSE,CafeF foreign history
VCB,2026-05-20,4774500,304868620000,"64,60 (+0,31%)",5212800,332853460000,438300,27984840000,823061469,20.15,HOSE,CafeF foreign history
VCB,2026-05-19,9271900,594254230000,"64,40 (+1,90%)",9769700,626124510000,497800,31870280000,832355936,20.04,HOSE,CafeF foreign history
VCB,2026-05-18,3693700,231560360000,"63,20 (+4,12%)",4100300,256713750000,406600,25153390000,836049774,19.99,HOSE,CafeF foreign history
VCB,2026-05-15,510800,31151830000,"60,70 (-0,49%)",705000,42988290000,194200,11836460000,835763365,20.0,HOSE,CafeF foreign history
VCB,2026-05-14,363500,22116120000,"61,00 (+1,50%)",482800,29396650000,119300,7280530000,834714227,20.01,HOSE,CafeF foreign history
VCB,2026-05-13,-815600,-48776420000,"60,10 (+0,33%)",225800,13553530000,1041400,62329950000,834714227,20.01,HOSE,CafeF foreign history
VCB,2026-05-12,-1446300,-86696770000,"59,90 (-0,66%)",347500,20830630000,1793800,107527400000,834714227,20.01,HOSE,CafeF foreign history
VCB,2026-05-11,313300,19098090000,"60,30 (-0,66%)",908200,55170580000,594900,36072490000,835027554,20.01,HOSE,CafeF foreign history
VCB,2026-05-08,163100,9899450000,"60,70 (+0,66%)",704800,42995040000,541700,33095590000,833797929,20.02,HOSE,CafeF foreign history
VCB,2026-05-07,433600,26176560000,"60,30 (-0,33%)",1041100,62979290000,607500,36802730000,832774928,20.03,HOSE,CafeF foreign history
VCB,2026-05-06,-1392700,-83629950000,"60,50 (+1,00%)",354400,21395620000,1747100,105025570000,831045675,20.05,HOSE,CafeF foreign history
VCB,2026-05-05,-1455800,-87433700000,"59,90 (-1,32%)",409900,24592310000,1865700,112026010000,828672095,20.08,HOSE,CafeF foreign history
VCB,2026-05-04,-1729200,-104546470000,"60,70 (+1,51%)",1592600,96411080000,3321800,200957550000,828259339,20.09,HOSE,CafeF foreign history
MBB,2026-05-29,-544400,-13575615000,"25,00 (0,00%)",278600,6971605000,823000,20547220000,51519198,22.6,HOSE,CafeF foreign history
MBB,2026-05-28,-432400,-10900630000,"25,00 (-1,57%)",634500,16078855000,1066900,26979485000,51519198,22.6,HOSE,CafeF foreign history
MBB,2026-05-27,-1769400,-45034435000,"25,40 (-0,39%)",734100,18777645000,2503500,63812080000,51362104,22.6,HOSE,CafeF foreign history
MBB,2026-05-26,1666900,42164275000,"25,50 (+2,82%)",4370800,110439425000,2703900,68275150000,47067353,22.65,HOSE,CafeF foreign history
